timestamp_utc,timestamp_local,is_covid_period,is_post_invasion
2025-07-25T00:00:00+00:00,2025-07-25T02:00:00+02:00,0,1
2025-07-25T01:00:00+00:00,2025-07-25T03:00:00+02:00,0,1
2025-07-25T02:00:00+00:00,2025-07-25T04:00:00+02:00,0,1
2025-07-25T03:00:00+00:00,2025-07-25T05:00:00+02:00,0,1
2025-07-25T04:00:00+00:00,2025-07-25T06:00:00+02:00,0,1
2025-07-25T05:00:00+00:00,2025-07-25T07:00:00+02:00,0,1
2025-07-25T06:00:00+00:00,2025-07-25T08:00:00+02:00,0,1
2025-07-25T07:00:00+00:00,2025-07-25T09:00:00+02:00,0,1
2025-07-25T08:00:00+00:00,2025-07-25T10:00:00+02:00,0,1
2025-07-25T09:00:00+00:00,2025-07-25T11:00:00+02:00,0,1
2025-07-25T10:00:00+00:00,2025-07-25T12:00:00+02:00,0,1
2025-07-25T11:00:00+00:00,2025-07-25T13:00:00+02:00,0,1
2025-07-25T12:00:00+00:00,2025-07-25T14:00:00+02:00,0,1
2025-07-25T13:00:00+00:00,2025-07-25T15:00:00+02:00,0,1
2025-07-25T14:00:00+00:00,2025-07-25T16:00:00+02:00,0,1
2025-07-25T15:00:00+00:00,2025-07-25T17:00:00+02:00,0,1
2025-07-25T16:00:00+00:00,2025-07-25T18:00:00+02:00,0,1
2025-07-25T17:00:00+00:00,2025-07-25T19:00:00+02:00,0,1
2025-07-25T18:00:00+00:00,2025-07-25T20:00:00+02:00,0,1
2025-07-25T19:00:00+00:00,2025-07-25T21:00:00+02:00,0,1
2025-07-25T20:00:00+00:00,2025-07-25T22:00:00+02:00,0,1
2025-07-25T21:00:00+00:00,2025-07-25T23:00:00+02:00,0,1
2025-07-25T22:00:00+00:00,2025-07-26T00:00:00+02:00,0,1
2025-07-25T23:00:00+00:00,2025-07-26T01:00:00+02:00,0,1
2025-07-26T00:00:00+00:00,2025-07-26T02:00:00+02:00,0,1
2025-07-26T01:00:00+00:00,2025-07-26T03:00:00+02:00,0,1
2025-07-26T02:00:00+00:00,2025-07-26T04:00:00+02:00,0,1
2025-07-26T03:00:00+00:00,2025-07-26T05:00:00+02:00,0,1
2025-07-26T04:00:00+00:00,2025-07-26T06:00:00+02:00,0,1
2025-07-26T05:00:00+00:00,2025-07-26T07:00:00+02:00,0,1
2025-07-26T06:00:00+00:00,2025-07-26T08:00:00+02:00,0,1
2025-07-26T07:00:00+00:00,2025-07-26T09:00:00+02:00,0,1
2025-07-26T08:00:00+00:00,2025-07-26T10:00:00+02:00,0,1
2025-07-26T09:00:00+00:00,2025-07-26T11:00:00+02:00,0,1
2025-07-26T10:00:00+00:00,2025-07-26T12:00:00+02:00,0,1
2025-07-26T11:00:00+00:00,2025-07-26T13:00:00+02:00,0,1
2025-07-26T12:00:00+00:00,2025-07-26T14:00:00+02:00,0,1
2025-07-26T13:00:00+00:00,2025-07-26T15:00:00+02:00,0,1
2025-07-26T14:00:00+00:00,2025-07-26T16:00:00+02:00,0,1
2025-07-26T15:00:00+00:00,2025-07-26T17:00:00+02:00,0,1
2025-07-26T16:00:00+00:00,2025-07-26T18:00:00+02:00,0,1
2025-07-26T17:00:00+00:00,2025-07-26T19:00:00+02:00,0,1
2025-07-26T18:00:00+00:00,2025-07-26T20:00:00+02:00,0,1
2025-07-26T19:00:00+00:00,2025-07-26T21:00:00+02:00,0,1
2025-07-26T20:00:00+00:00,2025-07-26T22:00:00+02:00,0,1
2025-07-26T21:00:00+00:00,2025-07-26T23:00:00+02:00,0,1
2025-07-26T22:00:00+00:00,2025-07-27T00:00:00+02:00,0,1
2025-07-26T23:00:00+00:00,2025-07-27T01:00:00+02:00,0,1
2025-07-27T00:00:00+00:00,2025-07-27T02:00:00+02:00,0,1
2025-07-27T01:00:00+00:00,2025-07-27T03:00:00+02:00,0,1
2025-07-27T02:00:00+00:00,2025-07-27T04:00:00+02:00,0,1
2025-07-27T03:00:00+00:00,2025-07-27T05:00:00+02:00,0,1
2025-07-27T04:00:00+00:00,2025-07-27T06:00:00+02:00,0,1
2025-07-27T05:00:00+00:00,2025-07-27T07:00:00+02:00,0,1
2025-07-27T06:00:00+00:00,2025-07-27T08:00:00+02:00,0,1
2025-07-27T07:00:00+00:00,2025-07-27T09:00:00+02:00,0,1
2025-07-27T08:00:00+00:00,2025-07-27T10:00:00+02:00,0,1
2025-07-27T09:00:00+00:00,2025-07-27T11:00:00+02:00,0,1
2025-07-27T10:00:00+00:00,2025-07-27T12:00:00+02:00,0,1
2025-07-27T11:00:00+00:00,2025-07-27T13:00:00+02:00,0,1
2025-07-27T12:00:00+00:00,2025-07-27T14:00:00+02:00,0,1
2025-07-27T13:00:00+00:00,2025-07-27T15:00:00+02:00,0,1
2025-07-27T14:00:00+00:00,2025-07-27T16:00:00+02:00,0,1
2025-07-27T15:00:00+00:00,2025-07-27T17:00:00+02:00,0,1
2025-07-27T16:00:00+00:00,2025-07-27T18:00:00+02:00,0,1
2025-07-27T17:00:00+00:00,2025-07-27T19:00:00+02:00,0,1
2025-07-27T18:00:00+00:00,2025-07-27T20:00:00+02:00,0,1
2025-07-27T19:00:00+00:00,2025-07-27T21:00:00+02:00,0,1
2025-07-27T20:00:00+00:00,2025-07-27T22:00:00+02:00,0,1
2025-07-27T21:00:00+00:00,2025-07-27T23:00:00+02:00,0,1
2025-07-27T22:00:00+00:00,2025-07-28T00:00:00+02:00,0,1
2025-07-27T23:00:00+00:00,2025-07-28T01:00:00+02:00,0,1
2025-07-28T00:00:00+00:00,2025-07-28T02:00:00+02:00,0,1
2025-07-28T01:00:00+00:00,2025-07-28T03:00:00+02:00,0,1
2025-07-28T02:00:00+00:00,2025-07-28T04:00:00+02:00,0,1
2025-07-28T03:00:00+00:00,2025-07-28T05:00:00+02:00,0,1
2025-07-28T04:00:00+00:00,2025-07-28T06:00:00+02:00,0,1
2025-07-28T05:00:00+00:00,2025-07-28T07:00:00+02:00,0,1
2025-07-28T06:00:00+00:00,2025-07-28T08:00:00+02:00,0,1
2025-07-28T07:00:00+00:00,2025-07-28T09:00:00+02:00,0,1
2025-07-28T08:00:00+00:00,2025-07-28T10:00:00+02:00,0,1
2025-07-28T09:00:00+00:00,2025-07-28T11:00:00+02:00,0,1
2025-07-28T10:00:00+00:00,2025-07-28T12:00:00+02:00,0,1
2025-07-28T11:00:00+00:00,2025-07-28T13:00:00+02:00,0,1
2025-07-28T12:00:00+00:00,2025-07-28T14:00:00+02:00,0,1
2025-07-28T13:00:00+00:00,2025-07-28T15:00:00+02:00,0,1
2025-07-28T14:00:00+00:00,2025-07-28T16:00:00+02:00,0,1
2025-07-28T15:00:00+00:00,2025-07-28T17:00:00+02:00,0,1
2025-07-28T16:00:00+00:00,2025-07-28T18:00:00+02:00,0,1
2025-07-28T17:00:00+00:00,2025-07-28T19:00:00+02:00,0,1
2025-07-28T18:00:00+00:00,2025-07-28T20:00:00+02:00,0,1
2025-07-28T19:00:00+00:00,2025-07-28T21:00:00+02:00,0,1
2025-07-28T20:00:00+00:00,2025-07-28T22:00:00+02:00,0,1
2025-07-28T21:00:00+00:00,2025-07-28T23:00:00+02:00,0,1
2025-07-28T22:00:00+00:00,2025-07-29T00:00:00+02:00,0,1
2025-07-28T23:00:00+00:00,2025-07-29T01:00:00+02:00,0,1
2025-07-29T00:00:00+00:00,2025-07-29T02:00:00+02:00,0,1
2025-07-29T01:00:00+00:00,2025-07-29T03:00:00+02:00,0,1
2025-07-29T02:00:00+00:00,2025-07-29T04:00:00+02:00,0,1
2025-07-29T03:00:00+00:00,2025-07-29T05:00:00+02:00,0,1
2025-07-29T04:00:00+00:00,2025-07-29T06:00:00+02:00,0,1
2025-07-29T05:00:00+00:00,2025-07-29T07:00:00+02:00,0,1
2025-07-29T06:00:00+00:00,2025-07-29T08:00:00+02:00,0,1
2025-07-29T07:00:00+00:00,2025-07-29T09:00:00+02:00,0,1
2025-07-29T08:00:00+00:00,2025-07-29T10:00:00+02:00,0,1
2025-07-29T09:00:00+00:00,2025-07-29T11:00:00+02:00,0,1
2025-07-29T10:00:00+00:00,2025-07-29T12:00:00+02:00,0,1
2025-07-29T11:00:00+00:00,2025-07-29T13:00:00+02:00,0,1
2025-07-29T12:00:00+00:00,2025-07-29T14:00:00+02:00,0,1
2025-07-29T13:00:00+00:00,2025-07-29T15:00:00+02:00,0,1
2025-07-29T14:00:00+00:00,2025-07-29T16:00:00+02:00,0,1
2025-07-29T15:00:00+00:00,2025-07-29T17:00:00+02:00,0,1
2025-07-29T16:00:00+00:00,2025-07-29T18:00:00+02:00,0,1
2025-07-29T17:00:00+00:00,2025-07-29T19:00:00+02:00,0,1
2025-07-29T18:00:00+00:00,2025-07-29T20:00:00+02:00,0,1
2025-07-29T19:00:00+00:00,2025-07-29T21:00:00+02:00,0,1
2025-07-29T20:00:00+00:00,2025-07-29T22:00:00+02:00,0,1
2025-07-29T21:00:00+00:00,2025-07-29T23:00:00+02:00,0,1
2025-07-29T22:00:00+00:00,2025-07-30T00:00:00+02:00,0,1
2025-07-29T23:00:00+00:00,2025-07-30T01:00:00+02:00,0,1
2025-07-30T00:00:00+00:00,2025-07-30T02:00:00+02:00,0,1
2025-07-30T01:00:00+00:00,2025-07-30T03:00:00+02:00,0,1
2025-07-30T02:00:00+00:00,2025-07-30T04:00:00+02:00,0,1
2025-07-30T03:00:00+00:00,2025-07-30T05:00:00+02:00,0,1
2025-07-30T04:00:00+00:00,2025-07-30T06:00:00+02:00,0,1
2025-07-30T05:00:00+00:00,2025-07-30T07:00:00+02:00,0,1
2025-07-30T06:00:00+00:00,2025-07-30T08:00:00+02:00,0,1
2025-07-30T07:00:00+00:00,2025-07-30T09:00:00+02:00,0,1
2025-07-30T08:00:00+00:00,2025-07-30T10:00:00+02:00,0,1
2025-07-30T09:00:00+00:00,2025-07-30T11:00:00+02:00,0,1
2025-07-30T10:00:00+00:00,2025-07-30T12:00:00+02:00,0,1
2025-07-30T11:00:00+00:00,2025-07-30T13:00:00+02:00,0,1
2025-07-30T12:00:00+00:00,2025-07-30T14:00:00+02:00,0,1
2025-07-30T13:00:00+00:00,2025-07-30T15:00:00+02:00,0,1
2025-07-30T14:00:00+00:00,2025-07-30T16:00:00+02:00,0,1
2025-07-30T15:00:00+00:00,2025-07-30T17:00:00+02:00,0,1
2025-07-30T16:00:00+00:00,2025-07-30T18:00:00+02:00,0,1
2025-07-30T17:00:00+00:00,2025-07-30T19:00:00+02:00,0,1
2025-07-30T18:00:00+00:00,2025-07-30T20:00:00+02:00,0,1
2025-07-30T19:00:00+00:00,2025-07-30T21:00:00+02:00,0,1
2025-07-30T20:00:00+00:00,2025-07-30T22:00:00+02:00,0,1
2025-07-30T21:00:00+00:00,2025-07-30T23:00:00+02:00,0,1
2025-07-30T22:00:00+00:00,2025-07-31T00:00:00+02:00,0,1
2025-07-30T23:00:00+00:00,2025-07-31T01:00:00+02:00,0,1
2025-07-31T00:00:00+00:00,2025-07-31T02:00:00+02:00,0,1
2025-07-31T01:00:00+00:00,2025-07-31T03:00:00+02:00,0,1
2025-07-31T02:00:00+00:00,2025-07-31T04:00:00+02:00,0,1
2025-07-31T03:00:00+00:00,2025-07-31T05:00:00+02:00,0,1
2025-07-31T04:00:00+00:00,2025-07-31T06:00:00+02:00,0,1
2025-07-31T05:00:00+00:00,2025-07-31T07:00:00+02:00,0,1
2025-07-31T06:00:00+00:00,2025-07-31T08:00:00+02:00,0,1
2025-07-31T07:00:00+00:00,2025-07-31T09:00:00+02:00,0,1
2025-07-31T08:00:00+00:00,2025-07-31T10:00:00+02:00,0,1
2025-07-31T09:00:00+00:00,2025-07-31T11:00:00+02:00,0,1
2025-07-31T10:00:00+00:00,2025-07-31T12:00:00+02:00,0,1
2025-07-31T11:00:00+00:00,2025-07-31T13:00:00+02:00,0,1
2025-07-31T12:00:00+00:00,2025-07-31T14:00:00+02:00,0,1
2025-07-31T13:00:00+00:00,2025-07-31T15:00:00+02:00,0,1
2025-07-31T14:00:00+00:00,2025-07-31T16:00:00+02:00,0,1
2025-07-31T15:00:00+00:00,2025-07-31T17:00:00+02:00,0,1
2025-07-31T16:00:00+00:00,2025-07-31T18:00:00+02:00,0,1
2025-07-31T17:00:00+00:00,2025-07-31T19:00:00+02:00,0,1
2025-07-31T18:00:00+00:00,2025-07-31T20:00:00+02:00,0,1
2025-07-31T19:00:00+00:00,2025-07-31T21:00:00+02:00,0,1
2025-07-31T20:00:00+00:00,2025-07-31T22:00:00+02:00,0,1
2025-07-31T21:00:00+00:00,2025-07-31T23:00:00+02:00,0,1
2025-07-31T22:00:00+00:00,2025-08-01T00:00:00+02:00,0,1
2025-07-31T23:00:00+00:00,2025-08-01T01:00:00+02:00,0,1
2025-08-01T00:00:00+00:00,2025-08-01T02:00:00+02:00,0,1
2025-08-01T01:00:00+00:00,2025-08-01T03:00:00+02:00,0,1
2025-08-01T02:00:00+00:00,2025-08-01T04:00:00+02:00,0,1
2025-08-01T03:00:00+00:00,2025-08-01T05:00:00+02:00,0,1
2025-08-01T04:00:00+00:00,2025-08-01T06:00:00+02:00,0,1
2025-08-01T05:00:00+00:00,2025-08-01T07:00:00+02:00,0,1
2025-08-01T06:00:00+00:00,2025-08-01T08:00:00+02:00,0,1
2025-08-01T07:00:00+00:00,2025-08-01T09:00:00+02:00,0,1
2025-08-01T08:00:00+00:00,2025-08-01T10:00:00+02:00,0,1
2025-08-01T09:00:00+00:00,2025-08-01T11:00:00+02:00,0,1
2025-08-01T10:00:00+00:00,2025-08-01T12:00:00+02:00,0,1
2025-08-01T11:00:00+00:00,2025-08-01T13:00:00+02:00,0,1
2025-08-01T12:00:00+00:00,2025-08-01T14:00:00+02:00,0,1
2025-08-01T13:00:00+00:00,2025-08-01T15:00:00+02:00,0,1
2025-08-01T14:00:00+00:00,2025-08-01T16:00:00+02:00,0,1
2025-08-01T15:00:00+00:00,2025-08-01T17:00:00+02:00,0,1
2025-08-01T16:00:00+00:00,2025-08-01T18:00:00+02:00,0,1
2025-08-01T17:00:00+00:00,2025-08-01T19:00:00+02:00,0,1
2025-08-01T18:00:00+00:00,2025-08-01T20:00:00+02:00,0,1
2025-08-01T19:00:00+00:00,2025-08-01T21:00:00+02:00,0,1
2025-08-01T20:00:00+00:00,2025-08-01T22:00:00+02:00,0,1
2025-08-01T21:00:00+00:00,2025-08-01T23:00:00+02:00,0,1
2025-08-01T22:00:00+00:00,2025-08-02T00:00:00+02:00,0,1
2025-08-01T23:00:00+00:00,2025-08-02T01:00:00+02:00,0,1
2025-08-02T00:00:00+00:00,2025-08-02T02:00:00+02:00,0,1
2025-08-02T01:00:00+00:00,2025-08-02T03:00:00+02:00,0,1
2025-08-02T02:00:00+00:00,2025-08-02T04:00:00+02:00,0,1
2025-08-02T03:00:00+00:00,2025-08-02T05:00:00+02:00,0,1
2025-08-02T04:00:00+00:00,2025-08-02T06:00:00+02:00,0,1
2025-08-02T05:00:00+00:00,2025-08-02T07:00:00+02:00,0,1
2025-08-02T06:00:00+00:00,2025-08-02T08:00:00+02:00,0,1
2025-08-02T07:00:00+00:00,2025-08-02T09:00:00+02:00,0,1
2025-08-02T08:00:00+00:00,2025-08-02T10:00:00+02:00,0,1
2025-08-02T09:00:00+00:00,2025-08-02T11:00:00+02:00,0,1
2025-08-02T10:00:00+00:00,2025-08-02T12:00:00+02:00,0,1
2025-08-02T11:00:00+00:00,2025-08-02T13:00:00+02:00,0,1
2025-08-02T12:00:00+00:00,2025-08-02T14:00:00+02:00,0,1
2025-08-02T13:00:00+00:00,2025-08-02T15:00:00+02:00,0,1
2025-08-02T14:00:00+00:00,2025-08-02T16:00:00+02:00,0,1
2025-08-02T15:00:00+00:00,2025-08-02T17:00:00+02:00,0,1
2025-08-02T16:00:00+00:00,2025-08-02T18:00:00+02:00,0,1
2025-08-02T17:00:00+00:00,2025-08-02T19:00:00+02:00,0,1
2025-08-02T18:00:00+00:00,2025-08-02T20:00:00+02:00,0,1
2025-08-02T19:00:00+00:00,2025-08-02T21:00:00+02:00,0,1
2025-08-02T20:00:00+00:00,2025-08-02T22:00:00+02:00,0,1
2025-08-02T21:00:00+00:00,2025-08-02T23:00:00+02:00,0,1
2025-08-02T22:00:00+00:00,2025-08-03T00:00:00+02:00,0,1
2025-08-02T23:00:00+00:00,2025-08-03T01:00:00+02:00,0,1
2025-08-03T00:00:00+00:00,2025-08-03T02:00:00+02:00,0,1
2025-08-03T01:00:00+00:00,2025-08-03T03:00:00+02:00,0,1
2025-08-03T02:00:00+00:00,2025-08-03T04:00:00+02:00,0,1
2025-08-03T03:00:00+00:00,2025-08-03T05:00:00+02:00,0,1
2025-08-03T04:00:00+00:00,2025-08-03T06:00:00+02:00,0,1
2025-08-03T05:00:00+00:00,2025-08-03T07:00:00+02:00,0,1
2025-08-03T06:00:00+00:00,2025-08-03T08:00:00+02:00,0,1
2025-08-03T07:00:00+00:00,2025-08-03T09:00:00+02:00,0,1
2025-08-03T08:00:00+00:00,2025-08-03T10:00:00+02:00,0,1
2025-08-03T09:00:00+00:00,2025-08-03T11:00:00+02:00,0,1
2025-08-03T10:00:00+00:00,2025-08-03T12:00:00+02:00,0,1
2025-08-03T11:00:00+00:00,2025-08-03T13:00:00+02:00,0,1
2025-08-03T12:00:00+00:00,2025-08-03T14:00:00+02:00,0,1
2025-08-03T13:00:00+00:00,2025-08-03T15:00:00+02:00,0,1
2025-08-03T14:00:00+00:00,2025-08-03T16:00:00+02:00,0,1
2025-08-03T15:00:00+00:00,2025-08-03T17:00:00+02:00,0,1
2025-08-03T16:00:00+00:00,2025-08-03T18:00:00+02:00,0,1
2025-08-03T17:00:00+00:00,2025-08-03T19:00:00+02:00,0,1
2025-08-03T18:00:00+00:00,2025-08-03T20:00:00+02:00,0,1
2025-08-03T19:00:00+00:00,2025-08-03T21:00:00+02:00,0,1
2025-08-03T20:00:00+00:00,2025-08-03T22:00:00+02:00,0,1
2025-08-03T21:00:00+00:00,2025-08-03T23:00:00+02:00,0,1
2025-08-03T22:00:00+00:00,2025-08-04T00:00:00+02:00,0,1
2025-08-03T23:00:00+00:00,2025-08-04T01:00:00+02:00,0,1
2025-08-04T00:00:00+00:00,2025-08-04T02:00:00+02:00,0,1
2025-08-04T01:00:00+00:00,2025-08-04T03:00:00+02:00,0,1
2025-08-04T02:00:00+00:00,2025-08-04T04:00:00+02:00,0,1
2025-08-04T03:00:00+00:00,2025-08-04T05:00:00+02:00,0,1
2025-08-04T04:00:00+00:00,2025-08-04T06:00:00+02:00,0,1
2025-08-04T05:00:00+00:00,2025-08-04T07:00:00+02:00,0,1
2025-08-04T06:00:00+00:00,2025-08-04T08:00:00+02:00,0,1
2025-08-04T07:00:00+00:00,2025-08-04T09:00:00+02:00,0,1
2025-08-04T08:00:00+00:00,2025-08-04T10:00:00+02:00,0,1
2025-08-04T09:00:00+00:00,2025-08-04T11:00:00+02:00,0,1
2025-08-04T10:00:00+00:00,2025-08-04T12:00:00+02:00,0,1
2025-08-04T11:00:00+00:00,2025-08-04T13:00:00+02:00,0,1
2025-08-04T12:00:00+00:00,2025-08-04T14:00:00+02:00,0,1
2025-08-04T13:00:00+00:00,2025-08-04T15:00:00+02:00,0,1
2025-08-04T14:00:00+00:00,2025-08-04T16:00:00+02:00,0,1
2025-08-04T15:00:00+00:00,2025-08-04T17:00:00+02:00,0,1
2025-08-04T16:00:00+00:00,2025-08-04T18:00:00+02:00,0,1
2025-08-04T17:00:00+00:00,2025-08-04T19:00:00+02:00,0,1
2025-08-04T18:00:00+00:00,2025-08-04T20:00:00+02:00,0,1
2025-08-04T19:00:00+00:00,2025-08-04T21:00:00+02:00,0,1
2025-08-04T20:00:00+00:00,2025-08-04T22:00:00+02:00,0,1
2025-08-04T21:00:00+00:00,2025-08-04T23:00:00+02:00,0,1
2025-08-04T22:00:00+00:00,2025-08-05T00:00:00+02:00,0,1
2025-08-04T23:00:00+00:00,2025-08-05T01:00:00+02:00,0,1
2025-08-05T00:00:00+00:00,2025-08-05T02:00:00+02:00,0,1
2025-08-05T01:00:00+00:00,2025-08-05T03:00:00+02:00,0,1
2025-08-05T02:00:00+00:00,2025-08-05T04:00:00+02:00,0,1
2025-08-05T03:00:00+00:00,2025-08-05T05:00:00+02:00,0,1
2025-08-05T04:00:00+00:00,2025-08-05T06:00:00+02:00,0,1
2025-08-05T05:00:00+00:00,2025-08-05T07:00:00+02:00,0,1
2025-08-05T06:00:00+00:00,2025-08-05T08:00:00+02:00,0,1
2025-08-05T07:00:00+00:00,2025-08-05T09:00:00+02:00,0,1
2025-08-05T08:00:00+00:00,2025-08-05T10:00:00+02:00,0,1
2025-08-05T09:00:00+00:00,2025-08-05T11:00:00+02:00,0,1
2025-08-05T10:00:00+00:00,2025-08-05T12:00:00+02:00,0,1
2025-08-05T11:00:00+00:00,2025-08-05T13:00:00+02:00,0,1
2025-08-05T12:00:00+00:00,2025-08-05T14:00:00+02:00,0,1
2025-08-05T13:00:00+00:00,2025-08-05T15:00:00+02:00,0,1
2025-08-05T14:00:00+00:00,2025-08-05T16:00:00+02:00,0,1
2025-08-05T15:00:00+00:00,2025-08-05T17:00:00+02:00,0,1
2025-08-05T16:00:00+00:00,2025-08-05T18:00:00+02:00,0,1
2025-08-05T17:00:00+00:00,2025-08-05T19:00:00+02:00,0,1
2025-08-05T18:00:00+00:00,2025-08-05T20:00:00+02:00,0,1
2025-08-05T19:00:00+00:00,2025-08-05T21:00:00+02:00,0,1
2025-08-05T20:00:00+00:00,2025-08-05T22:00:00+02:00,0,1
2025-08-05T21:00:00+00:00,2025-08-05T23:00:00+02:00,0,1
2025-08-05T22:00:00+00:00,2025-08-06T00:00:00+02:00,0,1
2025-08-05T23:00:00+00:00,2025-08-06T01:00:00+02:00,0,1
2025-08-06T00:00:00+00:00,2025-08-06T02:00:00+02:00,0,1
2025-08-06T01:00:00+00:00,2025-08-06T03:00:00+02:00,0,1
2025-08-06T02:00:00+00:00,2025-08-06T04:00:00+02:00,0,1
2025-08-06T03:00:00+00:00,2025-08-06T05:00:00+02:00,0,1
2025-08-06T04:00:00+00:00,2025-08-06T06:00:00+02:00,0,1
2025-08-06T05:00:00+00:00,2025-08-06T07:00:00+02:00,0,1
2025-08-06T06:00:00+00:00,2025-08-06T08:00:00+02:00,0,1
2025-08-06T07:00:00+00:00,2025-08-06T09:00:00+02:00,0,1
2025-08-06T08:00:00+00:00,2025-08-06T10:00:00+02:00,0,1
2025-08-06T09:00:00+00:00,2025-08-06T11:00:00+02:00,0,1
2025-08-06T10:00:00+00:00,2025-08-06T12:00:00+02:00,0,1
2025-08-06T11:00:00+00:00,2025-08-06T13:00:00+02:00,0,1
2025-08-06T12:00:00+00:00,2025-08-06T14:00:00+02:00,0,1
2025-08-06T13:00:00+00:00,2025-08-06T15:00:00+02:00,0,1
2025-08-06T14:00:00+00:00,2025-08-06T16:00:00+02:00,0,1
2025-08-06T15:00:00+00:00,2025-08-06T17:00:00+02:00,0,1
2025-08-06T16:00:00+00:00,2025-08-06T18:00:00+02:00,0,1
2025-08-06T17:00:00+00:00,2025-08-06T19:00:00+02:00,0,1
2025-08-06T18:00:00+00:00,2025-08-06T20:00:00+02:00,0,1
2025-08-06T19:00:00+00:00,2025-08-06T21:00:00+02:00,0,1
2025-08-06T20:00:00+00:00,2025-08-06T22:00:00+02:00,0,1
2025-08-06T21:00:00+00:00,2025-08-06T23:00:00+02:00,0,1
2025-08-06T22:00:00+00:00,2025-08-07T00:00:00+02:00,0,1
2025-08-06T23:00:00+00:00,2025-08-07T01:00:00+02:00,0,1
2025-08-07T00:00:00+00:00,2025-08-07T02:00:00+02:00,0,1
2025-08-07T01:00:00+00:00,2025-08-07T03:00:00+02:00,0,1
2025-08-07T02:00:00+00:00,2025-08-07T04:00:00+02:00,0,1
2025-08-07T03:00:00+00:00,2025-08-07T05:00:00+02:00,0,1
2025-08-07T04:00:00+00:00,2025-08-07T06:00:00+02:00,0,1
2025-08-07T05:00:00+00:00,2025-08-07T07:00:00+02:00,0,1
2025-08-07T06:00:00+00:00,2025-08-07T08:00:00+02:00,0,1
2025-08-07T07:00:00+00:00,2025-08-07T09:00:00+02:00,0,1
2025-08-07T08:00:00+00:00,2025-08-07T10:00:00+02:00,0,1
2025-08-07T09:00:00+00:00,2025-08-07T11:00:00+02:00,0,1
2025-08-07T10:00:00+00:00,2025-08-07T12:00:00+02:00,0,1
2025-08-07T11:00:00+00:00,2025-08-07T13:00:00+02:00,0,1
2025-08-07T12:00:00+00:00,2025-08-07T14:00:00+02:00,0,1
2025-08-07T13:00:00+00:00,2025-08-07T15:00:00+02:00,0,1
2025-08-07T14:00:00+00:00,2025-08-07T16:00:00+02:00,0,1
2025-08-07T15:00:00+00:00,2025-08-07T17:00:00+02:00,0,1
2025-08-07T16:00:00+00:00,2025-08-07T18:00:00+02:00,0,1
2025-08-07T17:00:00+00:00,2025-08-07T19:00:00+02:00,0,1
2025-08-07T18:00:00+00:00,2025-08-07T20:00:00+02:00,0,1
2025-08-07T19:00:00+00:00,2025-08-07T21:00:00+02:00,0,1
2025-08-07T20:00:00+00:00,2025-08-07T22:00:00+02:00,0,1
2025-08-07T21:00:00+00:00,2025-08-07T23:00:00+02:00,0,1
2025-08-07T22:00:00+00:00,2025-08-08T00:00:00+02:00,0,1
2025-08-07T23:00:00+00:00,2025-08-08T01:00:00+02:00,0,1
2025-08-08T00:00:00+00:00,2025-08-08T02:00:00+02:00,0,1
2025-08-08T01:00:00+00:00,2025-08-08T03:00:00+02:00,0,1
2025-08-08T02:00:00+00:00,2025-08-08T04:00:00+02:00,0,1
2025-08-08T03:00:00+00:00,2025-08-08T05:00:00+02:00,0,1
2025-08-08T04:00:00+00:00,2025-08-08T06:00:00+02:00,0,1
2025-08-08T05:00:00+00:00,2025-08-08T07:00:00+02:00,0,1
2025-08-08T06:00:00+00:00,2025-08-08T08:00:00+02:00,0,1
2025-08-08T07:00:00+00:00,2025-08-08T09:00:00+02:00,0,1
2025-08-08T08:00:00+00:00,2025-08-08T10:00:00+02:00,0,1
2025-08-08T09:00:00+00:00,2025-08-08T11:00:00+02:00,0,1
2025-08-08T10:00:00+00:00,2025-08-08T12:00:00+02:00,0,1
2025-08-08T11:00:00+00:00,2025-08-08T13:00:00+02:00,0,1
2025-08-08T12:00:00+00:00,2025-08-08T14:00:00+02:00,0,1
