country,specification_id,seasonal_form,seasonal_periods,trend,damped_trend,specification_order,forecast_origin_local,forecast_origin_utc,training_observations,aic,aicc,bic,convergence_status,fit_status,fitting_time_seconds,selection_criterion,selection_value,eligible,error_message,optimizer_used,optimizer_attempt_count,optimizer_attempts_json
Germany,hw_add_s24_undamped,add,24,add,False,0,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,35058,496442.63668637973,496442.68978827255,496679.64994150965,converged,success,3.796463400009088,AICc,496442.68978827255,True,,L-BFGS-B,1,"[{""aic"": 496442.63668637973, ""aic_finite"": true, ""aicc"": 496442.68978827255, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 496679.64994150965, ""bic_finite"": true, ""fitting_time_seconds"": 3.796463400009088, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 810, ""nit"": 10, ""njev"": 27, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Germany,hw_add_s24_damped,add,24,add,True,1,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,35058,495406.2181815236,495406.27482515975,495651.6961957653,converged,success,8.622303500014823,AICc,495406.27482515975,True,,L-BFGS-B,1,"[{""aic"": 495406.2181815236, ""aic_finite"": true, ""aicc"": 495406.27482515975, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 495651.6961957653, ""bic_finite"": true, ""fitting_time_seconds"": 8.622303500014823, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 1674, ""nit"": 21, ""njev"": 54, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Germany,hw_add_s168_undamped,add,168,add,False,2,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,35058,482312.5205307538,482314.26636683446,483768.4590979804,converged,success,6.966160399984801,AICc,482314.26636683446,True,,L-BFGS-B,1,"[{""aic"": 482312.5205307538, ""aic_finite"": true, ""aicc"": 482314.26636683446, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 483768.4590979804, ""bic_finite"": true, ""fitting_time_seconds"": 6.966160399984801, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 9918, ""nit"": 36, ""njev"": 57, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Germany,hw_add_s168_damped,add,168,add,True,3,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,35058,477156.7826590612,477158.5486128483,478621.1859853996,converged,success,9.348931399988942,AICc,477158.5486128483,True,,L-BFGS-B,1,"[{""aic"": 477156.7826590612, ""aic_finite"": true, ""aicc"": 477158.5486128483, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 478621.1859853996, ""bic_finite"": true, ""fitting_time_seconds"": 9.348931399988942, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 8225, ""nit"": 36, ""njev"": 47, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Germany,hw_mul_s24_undamped,mul,24,add,False,4,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,35058,491580.4079499577,491580.4610518505,491817.4212050876,converged,success,3.578701299993554,AICc,491580.4610518505,True,,L-BFGS-B,1,"[{""aic"": 491580.4079499577, ""aic_finite"": true, ""aicc"": 491580.4610518505, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 491817.4212050876, ""bic_finite"": true, ""fitting_time_seconds"": 3.578701299993554, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 180, ""nit"": 2, ""njev"": 6, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Germany,hw_mul_s24_damped,mul,24,add,True,5,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,35058,490658.3989667802,490658.45561041636,490903.8769810219,converged,success,14.056442299974151,AICc,490658.45561041636,True,,L-BFGS-B,1,"[{""aic"": 490658.3989667802, ""aic_finite"": true, ""aicc"": 490658.45561041636, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 490903.8769810219, ""bic_finite"": true, ""fitting_time_seconds"": 14.056442299974151, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 3162, ""nit"": 95, ""njev"": 102, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Germany,hw_mul_s168_undamped,mul,168,add,False,6,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,35058,474942.49766771536,474944.243503796,476398.43623494194,converged,success,40.850026499974774,AICc,474944.243503796,True,,least_squares,3,"[{""aic"": 474971.734441314, ""aic_finite"": true, ""aicc"": 474973.48027739464, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 476427.6730085406, ""bic_finite"": true, ""fitting_time_seconds"": 9.157327599998098, ""message"": ""STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT"", ""minimize_kwargs"": {}, ""nfev"": 15138, ""nit"": 69, ""njev"": 87, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 1, ""success"": false, ""warning_messages"": [""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]}, {""aic"": 474965.35721154703, ""aic_finite"": true, ""aicc"": 474967.10304762766, ""aicc_finite"": true, ""attempt_number"": 2, ""bic"": 476421.2957787736, ""bic_finite"": true, ""fitting_time_seconds"": 15.101408599992283, ""message"": ""STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT"", ""minimize_kwargs"": {""options"": {""maxfun"": 30000, ""maxiter"": 2000}}, ""nfev"": 30102, ""nit"": 146, ""njev"": 173, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 1, ""success"": false, ""warning_messages"": [""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]}, {""aic"": 474942.49766771536, ""aic_finite"": true, ""aicc"": 474944.243503796, ""aicc_finite"": true, ""attempt_number"": 3, ""bic"": 476398.43623494194, ""bic_finite"": true, ""fitting_time_seconds"": 16.591290299984394, ""message"": ""`xtol` termination condition is satisfied."", ""minimize_kwargs"": {""max_nfev"": 2000}, ""nfev"": 14, ""nit"": null, ""njev"": 9, ""optimizer"": ""least_squares"", ""parameters_finite"": true, ""status"": 3, ""success"": true, ""warning_messages"": []}]"
Germany,hw_mul_s168_damped,mul,168,add,True,7,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,35058,474933.8413333165,474935.6072871036,476398.2446596549,converged,success,42.08605200002785,AICc,474935.6072871036,True,,least_squares,3,"[{""aic"": 474960.3457607977, ""aic_finite"": true, ""aicc"": 474962.11171458475, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 476424.74908713606, ""bic_finite"": true, ""fitting_time_seconds"": 9.960722600022564, ""message"": ""STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT"", ""minimize_kwargs"": {}, ""nfev"": 15050, ""nit"": 79, ""njev"": 86, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 1, ""success"": false, ""warning_messages"": [""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]}, {""aic"": 474952.6422367165, ""aic_finite"": true, ""aicc"": 474954.4081905036, ""aicc_finite"": true, ""attempt_number"": 2, ""bic"": 476417.0455630549, ""bic_finite"": true, ""fitting_time_seconds"": 15.004848699987633, ""message"": ""STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT"", ""minimize_kwargs"": {""options"": {""maxfun"": 30000, ""maxiter"": 2000}}, ""nfev"": 30100, ""nit"": 164, ""njev"": 172, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 1, ""success"": false, ""warning_messages"": [""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]}, {""aic"": 474933.8413333165, ""aic_finite"": true, ""aicc"": 474935.6072871036, ""aicc_finite"": true, ""attempt_number"": 3, ""bic"": 476398.2446596549, ""bic_finite"": true, ""fitting_time_seconds"": 17.12048070001765, ""message"": ""`ftol` termination condition is satisfied."", ""minimize_kwargs"": {""max_nfev"": 2000}, ""nfev"": 14, ""nit"": null, ""njev"": 9, ""optimizer"": ""least_squares"", ""parameters_finite"": true, ""status"": 2, ""success"": true, ""warning_messages"": []}]"
Austria,hw_add_s24_undamped,add,24,add,False,0,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,35048,365169.3124133963,365169.36553045374,365406.31768062216,converged,success,3.84955600000103,AICc,365169.36553045374,True,,L-BFGS-B,1,"[{""aic"": 365169.3124133963, ""aic_finite"": true, ""aicc"": 365169.36553045374, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 365406.31768062216, ""bic_finite"": true, ""fitting_time_seconds"": 3.84955600000103, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 420, ""nit"": 10, ""njev"": 14, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Austria,hw_add_s24_damped,add,24,add,True,1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,35048,363310.60827600455,363310.6649358172,363556.0780170599,converged,success,6.489658500009682,AICc,363310.6649358172,True,,L-BFGS-B,1,"[{""aic"": 363310.60827600455, ""aic_finite"": true, ""aicc"": 363310.6649358172, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 363556.0780170599, ""bic_finite"": true, ""fitting_time_seconds"": 6.489658500009682, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 961, ""nit"": 13, ""njev"": 31, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Austria,hw_add_s168_undamped,add,168,add,False,2,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,35048,359945.6770464834,359947.4233831909,361401.5665451563,converged,success,6.2031540000170935,AICc,359947.4233831909,True,,L-BFGS-B,1,"[{""aic"": 359945.6770464834, ""aic_finite"": true, ""aicc"": 359947.4233831909, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 361401.5665451563, ""bic_finite"": true, ""fitting_time_seconds"": 6.2031540000170935, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 7134, ""nit"": 21, ""njev"": 41, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Austria,hw_add_s168_damped,add,168,add,True,3,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,35048,355611.14266535034,355612.9091255476,357075.49663785275,converged,success,13.962792400008766,AICc,355612.9091255476,True,,L-BFGS-B,1,"[{""aic"": 355611.14266535034, ""aic_finite"": true, ""aicc"": 355612.9091255476, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 357075.49663785275, ""bic_finite"": true, ""fitting_time_seconds"": 13.962792400008766, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 5075, ""nit"": 19, ""njev"": 29, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Austria,hw_mul_s24_undamped,mul,24,add,False,4,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,35048,359322.9140856562,359322.9672027136,359559.919352882,converged,success,4.305024100001901,AICc,359322.9672027136,True,,L-BFGS-B,1,"[{""aic"": 359322.9140856562, ""aic_finite"": true, ""aicc"": 359322.9672027136, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 359559.919352882, ""bic_finite"": true, ""fitting_time_seconds"": 4.305024100001901, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 1860, ""nit"": 46, ""njev"": 62, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Austria,hw_mul_s24_damped,mul,24,add,True,5,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,35048,359200.10243460065,359200.1590944133,359445.572175656,converged,success,5.489897200022824,AICc,359200.1590944133,True,,L-BFGS-B,1,"[{""aic"": 359200.10243460065, ""aic_finite"": true, ""aicc"": 359200.1590944133, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 359445.572175656, ""bic_finite"": true, ""fitting_time_seconds"": 5.489897200022824, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""minimize_kwargs"": {}, ""nfev"": 2573, ""nit"": 77, ""njev"": 83, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 0, ""success"": true, ""warning_messages"": []}]"
Austria,hw_mul_s168_undamped,mul,168,add,False,6,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,35048,350932.04237129167,350933.78870799916,352387.9318699646,converged,success,48.982486799999606,AICc,350933.78870799916,True,,least_squares,3,"[{""aic"": 350979.13370464864, ""aic_finite"": true, ""aicc"": 350980.88004135614, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 352435.02320332156, ""bic_finite"": true, ""fitting_time_seconds"": 9.547540500003379, ""message"": ""STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT"", ""minimize_kwargs"": {}, ""nfev"": 15138, ""nit"": 63, ""njev"": 87, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 1, ""success"": false, ""warning_messages"": [""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]}, {""aic"": 350940.2107391647, ""aic_finite"": true, ""aicc"": 350941.95707587217, ""aicc_finite"": true, ""attempt_number"": 2, ""bic"": 352396.1002378376, ""bic_finite"": true, ""fitting_time_seconds"": 14.608705899998313, ""message"": ""STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT"", ""minimize_kwargs"": {""options"": {""maxfun"": 30000, ""maxiter"": 2000}}, ""nfev"": 30102, ""nit"": 135, ""njev"": 173, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 1, ""success"": false, ""warning_messages"": [""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]}, {""aic"": 350932.04237129167, ""aic_finite"": true, ""aicc"": 350933.78870799916, ""aicc_finite"": true, ""attempt_number"": 3, ""bic"": 352387.9318699646, ""bic_finite"": true, ""fitting_time_seconds"": 24.826240399997914, ""message"": ""`xtol` termination condition is satisfied."", ""minimize_kwargs"": {""max_nfev"": 2000}, ""nfev"": 20, ""nit"": null, ""njev"": 13, ""optimizer"": ""least_squares"", ""parameters_finite"": true, ""status"": 3, ""success"": true, ""warning_messages"": []}]"
Austria,hw_mul_s168_damped,mul,168,add,True,7,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,35048,350929.59613993403,350931.3626001313,352393.95011243643,converged,success,45.42888150000363,AICc,350931.3626001313,True,,least_squares,3,"[{""aic"": 350936.6824339641, ""aic_finite"": true, ""aicc"": 350938.4488941614, ""aicc_finite"": true, ""attempt_number"": 1, ""bic"": 352401.0364064665, ""bic_finite"": true, ""fitting_time_seconds"": 9.624665100011043, ""message"": ""STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT"", ""minimize_kwargs"": {}, ""nfev"": 15050, ""nit"": 81, ""njev"": 86, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 1, ""success"": false, ""warning_messages"": [""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]}, {""aic"": 350934.6915580629, ""aic_finite"": true, ""aicc"": 350936.4580182602, ""aicc_finite"": true, ""attempt_number"": 2, ""bic"": 352399.0455305653, ""bic_finite"": true, ""fitting_time_seconds"": 15.33676559999003, ""message"": ""STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT"", ""minimize_kwargs"": {""options"": {""maxfun"": 30000, ""maxiter"": 2000}}, ""nfev"": 30100, ""nit"": 166, ""njev"": 172, ""optimizer"": ""L-BFGS-B"", ""parameters_finite"": true, ""status"": 1, ""success"": false, ""warning_messages"": [""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]}, {""aic"": 350929.59613993403, ""aic_finite"": true, ""aicc"": 350931.3626001313, ""aicc_finite"": true, ""attempt_number"": 3, ""bic"": 352393.95011243643, ""bic_finite"": true, ""fitting_time_seconds"": 20.467450800002553, ""message"": ""`xtol` termination condition is satisfied."", ""minimize_kwargs"": {""max_nfev"": 2000}, ""nfev"": 17, ""nit"": null, ""njev"": 10, ""optimizer"": ""least_squares"", ""parameters_finite"": true, ""status"": 3, ""success"": true, ""warning_messages"": []}]"
